product_id,product_name,price,detail,published_date,publisher,product_image,author
1,2024 빅데이터분석기사 실기 한권완성: 파이썬(Python) (작업형 제3유형 완벽 대비 / 파이썬 기초부터 실전 대비까지 / 현업 데이터사이언티스트의 코드 전면 공유 / 2023년 포함 최신기출복원문제 6회분 수록),27000,"빅데이터분석기사 실기시험 초단기 합격을 위한 최고의 실전 대비서
‘2024 빅데이터분석기사 실기 한권완성 [파이썬(Python)]’이 출간되었습니다. 실제 시험의 출제 경향을 완벽 분석·반영하여 실기시험을 위한 기초 이론 요약과 변경된 시험 유형에 맞추어 작업형 제3유형까지 대비할 수 있도록 작업형에 대한 핵심이론 및 실전 문제를 한 권에 수록하였습니다. 본 도서는 빅데이터분석기사 실기 합격을 달성하고자 하는 수험생들에게 탁월한 선택이 될 것입니다.

파이썬 입문자도 쉽게 따라 할 수 있는 A to Z 실습
파이썬을 전혀 접해보지 않은 사람도 데이터분석의 실무에 입문할 수 있도록 파이썬의 기본 문법부터 Pandas 등과 같은 데이터분석 라이브러리의 활용법까지 상세한 설명을 수록하였습니다. 실제 시험과 동일한 유형과 난이도로 구성된 연습문제를 수록하여 작업형 시험에 완벽하게 대비할 수 있도록 하였습니다.

제6회부터 적용된 시험 유형 변경 대비, 작업형 시험을 위한 실전 맞춤형 학습
제6회부터 변경된 시험 유형에 대비해 작업형 유형별로 실제 시험에 나올 가능성이 높은 핵심이론만을 수록하였습니다. 이를 활용해 실전 감각을 키울 수 있도록 마무리 문제를 수록하였습니다. 문제마다 저자의 모범 코드 답안이 함께 제시되어 실제 직접 코드를 짜 보면서 시험에 효과적으로 대비할 수 있도록 하였습니다. 또한, 깃허브를 통해 코드를 공유함으로써 실제 코드의 구현 및 수정, 개선 등을 직접 실습해볼 수 있도록 하였습니다.

2023년 6~7회 포함, 빅데이터분석기사 실기 기출복원문제 총 6회분 수록
2023년에 치러진 6~7회를 포함하여 총 6회분의 기출복원문제를 수록하여 실제 시험 문제 유형을 익히고 난이도를 파악할 수 있도록 하였습니다. 또한, 현업 데이터사이언티스트가 직접 작성한 작업형 해설을 통해 최종 복습까지 이루어질 수 있도록 하였습니다.",20240520,예문에듀,,최예신^박진원^이경숙^김주현
2,데이터에듀 빅데이터 분석기사 실기 with Python,26100,"본 도서는 한국데이터산업진흥원에서 실시할 예정인 『빅데이터 분석기사』 자격증을 준비하는 수험생들을 위한 도서입니다. 2014년 데이터분석 준전문가(Advanced Data Analytics semi-Professional, ADsP) 자격증 시험 시행 이후 정부 주도로 빅데이터 분야의 국가공인 자격증 신설을 준비해왔습니다. 

2021년 6월부터 시행한 빅데이터 분석기사 실기시험의 내용, 문제의 난이도 등의 방향을 고려하여 표와 그림을 위주로 중요한 내용을 정리하였으며, 작업형1 유형인 Python 기초, 데이터 다루기과 작업형2 유형인 머신러닝, 신규 출제 범위인 작업형3 유형인 통계분석의 내용을 정리하였습니다.

각 장에는 빅데이터 분석기사 실기 시험 환경에서 필요한 내용을 전반적으로 체크했으며, 다량의 예상문제를 수록하여 내용을 다시 점검할 수 있도록 하였습니다. 본 도서는 3회의 모의고사를 수록하여 가상의 시험을 경험하고 6회분의 최신 기출문제로 시험 합격에 더 가까워질 수 있도록 정보를 제공하고 있습니다. 또한 작업형의 각 장마다 실습용 Python 코드를 제공하여 실습과 실전대비를 지원하고 있습니다. 『빅데이터 분석기사』 자격증을 공부하는 모든 예비 전문가들에게 쉽고 빠르게 자격증을 취득할 수 있도록 도움을 줄 것입니다.",20240503,데이터에듀,\img\데이터에듀 빅데이터 분석기사 실기 with Python.jpg,윤종식
3,2024 이기적 빅데이터분석기사 실기 기본서 Python 분석 (개념부터 기출까지 제공하는 완벽 입문서),22500,"본 도서는 최신 출제기준을 적용한 도서로, 빅데이터분석기사 실기 시험의 경향을 분석하여 수험생들이 혼자서도 학습할 수 있도록 한 완벽 대비서이다. 파이썬 언어를 기반으로 작성되었으며, 많은 예시로 수험자의 공부 폭을 넓혀 다양한 경험을 제공하고, 꼼꼼한 이론과 예상문제를 통해 시험 유형에 철저하게 대비할 수 있도록 하였다. 또한 실기 시험의 핵심을 다루는 요약 자료와 신설된 제3유형 대비 추가 문제, 모의고사 풀이 동영상 등을 이기적 스터디 카페를 통해 제공받을 수 있다.",20231113,영진닷컴,\img\2024 이기적 빅데이터분석기사 실기 기본서 Python 분석 (개념부터 기출까지 제공하는 완벽 입문서).jpg,나홍석^배원성^이건길^이혜영^고려사이버대학교 AI·빅데이터 연구소
4,Python (Python basics for Beginners),40940,"Are you thinking about learning how to use the Python programming language? Thinking about getting started on a programming career?Python is one of the easiest computer programming languages to learn and use, with simple syntax and easy rules to follow. While it is aimed at beginners to Python coding, this book can also be used as a reference for those with a little more experience who want to brush up on their skills.",20210801,Ladoo Publishing LLC,\img\Python (Python basics for Beginners).jpg,Unknown
6,Python,47500,"DescriptionAre you one of those individuals who want to learn more about machine learning using Python? Perhaps you are seeking a detailed guide explaining how you can manage machine learning easily and hassle-free. Then look no further because this book, Machine Learning Using Python: Discover The World Of Machine Learning Using Python Algorithm Analysis, Ide, and Libraries.",20201102,Davide Cicatiello,\img\Python.jpg,Unknown
7,Python (머리에 쏙쏙 들어오는 파이썬 안내서),20000,"고유한 기법으로 파이썬 언어를 가르치는 실용 안내서 『헤드 퍼스트 파이썬』. 파이썬에서 제공하는 함수 모듈, 데이터 마이닝, 데이터 랭글링 등의 기법을 다양한 예제를 통해 쉽고 빠르게 익히도록 도와준다. 파이썬의 기초를 간단히 살펴보고 영속성, 예외 처리, 웹 개발, SQLite, 데이터 마이닝, 구글 앱 엔진을 적용한다. 또한 안드로이드용 웹앱도 만들어 본다. 파이썬 프로그래머가 되기 위해 경험해야 할 모든 것을 가르쳐주는 책이다.",20111028,한빛미디어,\img\Python (머리에 쏙쏙 들어오는 파이썬 안내서).jpg,폴 배리
8,Python (Visual QuickStart Guide),31100,"The quick and easy way to master Python for Internet and Intranet programming with this visual, step-by-step guide to the popular Python programming language. This guide contains cross-platform coverage for the Mac, Windows, and Unix environments ...",20011001,Peachpit Press,\img\Python (Visual QuickStart Guide).jpg,Unknown
9,"처음 만나는 통계와 데이터분석: R과 Python 활용 (R과 Python 활용, 제2판)",18900,"통계와 데이터분석은 금융권 업무와 동떨어져 있고, 극소수의 사람만 알면 되는 그다지 쓸모없는 지식인 것처럼 여겨지던 때가 있었습니다. 그러나 지금은 데이터의 시대이고 빅데이터 분석과 활용이 화두가 될 정도로 상황이 많이 바뀌었습니다. 여기저기에서 통계와 데이터분석을 배우지 않으면 남들보다 뒤처질 것처럼 얘기하다 보니 왠지 꼭 배워야만 할 것 같은 분위기가 형성된 것 같습니다. 이러한 분위기 속에서 통계를 분석 도구로 사용하고 이를 가르치는 입장에서 보면, 너무 급하게 암기식으로 배우거나 현란한 공식에 매몰되어 흥미를 잃고, 실제 데이터를 접했을 때 전혀 적용하지 못하거나 잘못 적용하는 상황을 자주 목격하게 되었습니다.",20240401,한국금융연수원,,윤정연
10,알고리즘으로 배우는 수치해석: Python 활용 (Python 활용),27000,"이 책은 수치해석에 대한 최신의 경향을 따라가기 위해서, 수학적 배경, 알고리즘, 프로그래밍 기법을 한 곳에 모아 놓은 책이다. 따라서, 독자들의 다양한 필요에 따라서 적절한 내용을 체계적으로 학습할 수 있도록 배려하였다. 이 책은 특별히 알고리즘의 작동 원리를 설명하는데 중점을 두었다. 프로그램을 수행하기 위해서는 작동 원리를 반드시 이해해야 하기 때문이다.
 독자들이 수치해석에 대한 기본적인 지식을 충분히 습득할 수 있도록 다음과 같은 주안점을 두어 필요한 내용들을 소개하고 있다.
1. 수학적 이론을 지양하고 보다 쉽게 수치해석의 원리를 이해할 수 있도록 내용을 상세히 풀어서 설명하였다.
2. 알고리즘의 작동원리를 구체적으로 설명하여 이해하기 쉽도록 하였다.
3. 알고리즘을 실제로 구현하기 위한 프로그래밍 기법을 복잡하지 않으면서도 체계적으로 설명하였다.",20220915,학산미디어,,최덕기
11,Intermediate Python,25000,"This book provides you with relevant information about using intermediate Python 3.x for a variety of topics, such as comprehensions, iterators, generators, regular expressions, OOP, queues and stacks, and recursion. Each chapter contains an assortment of code samples that illustrate the topics covered in the chapter material. Companion files including code samples are available by writing to the publisher.",20230918,Mercury Learning and Information,\img\Intermediate Python.jpg,"Campesato, Oswald"
